Business Process,Name,Actor,Uses Container Interface,Uses Software System Interface
CompleteEndToEnd,Banking via Web App,Customer,SoftwareSystems.InternetBanking.Containers.WebApplication.Interfaces.Navigate,
CompleteEndToEnd,Banking via Web App,Customer,SoftwareSystems.InternetBanking.Containers.SinglePageApp.Interfaces.SignIn,
CompleteEndToEnd,Banking via Web App,Customer,SoftwareSystems.InternetBanking.Containers.SinglePageApp.Interfaces.ViewCustomerDetails,
CompleteEndToEnd,Banking via Web App,Customer,SoftwareSystems.InternetBanking.Containers.SinglePageApp.Interfaces.ViewAccountTransactions,
CompleteEndToEnd,Banking via Web App,Customer,SoftwareSystems.InternetBanking.Containers.SinglePageApp.Interfaces.CreateAccount,
CompleteEndToEnd,Banking via Mobile App,Customer,SoftwareSystems.InternetBanking.Containers.MobileApp.Interfaces.SignIn,
CompleteEndToEnd,Banking via Mobile App,Customer,SoftwareSystems.InternetBanking.Containers.MobileApp.Interfaces.ViewCustomerDetails,
CompleteEndToEnd,Banking via Mobile App,Customer,SoftwareSystems.InternetBanking.Containers.MobileApp.Interfaces.ViewAccountTransactions,
CompleteEndToEnd,Receive E-Mail Notifications,Customer,,SoftwareSystems.EMailSystem.Interfaces.ReceivePasswordChangedNotificationEMail
CompleteEndToEnd,Receive E-Mail Notifications,Customer,,SoftwareSystems.EMailSystem.Interfaces.ReceiveNewAccountCreatedNotificationEMail
CreateNewAccount,Go to Online Banking URL,Customer,SoftwareSystems.InternetBanking.Containers.WebApplication.Interfaces.Navigate,
CreateNewAccount,Sign In and View Home Page,Customer,SoftwareSystems.InternetBanking.Containers.SinglePageApp.Interfaces.SignIn,
CreateNewAccount,Sign In and View Home Page,Customer,SoftwareSystems.InternetBanking.Containers.SinglePageApp.Interfaces.ViewCustomerDetails,
CreateNewAccount,Create New Account,Customer,SoftwareSystems.InternetBanking.Containers.SinglePageApp.Interfaces.CreateAccount,
CreateNewAccount,Receive New Account Created Notification E-Mail,Customer,,SoftwareSystems.EMailSystem.Interfaces.ReceiveNewAccountCreatedNotificationEMail
