Container Interface,Uses Container Interface,Uses Software System Interface,Condition
InternetBanking.Containers.WebApplication.Interfaces.Navigate,InternetBanking.Containers.SinglePageApp.Interfaces.LoadAndStart,,
InternetBanking.Containers.SinglePageApp.Interfaces.SignIn,InternetBanking.Containers.APIApplication.Interfaces.SignIn,,
InternetBanking.Containers.SinglePageApp.Interfaces.ChangePassword,InternetBanking.Containers.APIApplication.Interfaces.ChangePassword,,
InternetBanking.Containers.SinglePageApp.Interfaces.ViewCustomerDetails,InternetBanking.Containers.APIApplication.Interfaces.GetCustomer,,
InternetBanking.Containers.SinglePageApp.Interfaces.ViewCustomerDetails,InternetBanking.Containers.APIApplication.Interfaces.GetCustomerAccounts,,
InternetBanking.Containers.SinglePageApp.Interfaces.ViewAccountTransactions,InternetBanking.Containers.APIApplication.Interfaces.GetAccountTransactions,,
InternetBanking.Containers.SinglePageApp.Interfaces.CreateAccount,InternetBanking.Containers.APIApplication.Interfaces.CreateAccount,,
InternetBanking.Containers.MobileApp.Interfaces.SignIn,InternetBanking.Containers.APIApplication.Interfaces.SignIn,,
InternetBanking.Containers.MobileApp.Interfaces.ChangePassword,InternetBanking.Containers.APIApplication.Interfaces.ChangePassword,,
InternetBanking.Containers.MobileApp.Interfaces.ViewCustomerDetails,InternetBanking.Containers.APIApplication.Interfaces.GetCustomer,,
InternetBanking.Containers.MobileApp.Interfaces.ViewCustomerDetails,InternetBanking.Containers.APIApplication.Interfaces.GetCustomerAccounts,,
InternetBanking.Containers.MobileApp.Interfaces.ViewAccountTransactions,InternetBanking.Containers.APIApplication.Interfaces.GetAccountTransactions,,
InternetBanking.Containers.APIApplication.Interfaces.SignIn,InternetBanking.Containers.Database.Interfaces.AuthenticateUser,,
InternetBanking.Containers.APIApplication.Interfaces.ChangePassword,InternetBanking.Containers.Database.Interfaces.UpdateUserPassword,,
InternetBanking.Containers.APIApplication.Interfaces.ChangePassword,,EMailSystem.Interfaces.SendPasswordChangedNotificationEMail,
InternetBanking.Containers.APIApplication.Interfaces.GetCustomer,,MainframeBankingSystem.Interfaces.GetCustomer,
InternetBanking.Containers.APIApplication.Interfaces.GetCustomerAccounts,,MainframeBankingSystem.Interfaces.GetCustomerAccounts,
InternetBanking.Containers.APIApplication.Interfaces.GetAccountTransactions,,MainframeBankingSystem.Interfaces.GetAccountTransactions,
InternetBanking.Containers.APIApplication.Interfaces.CreateAccount,,MainframeBankingSystem.Interfaces.CreateAccount,
InternetBanking.Containers.APIApplication.Interfaces.CreateAccount,,EMailSystem.Interfaces.SendNewAccountCreatedNotificationEMail,
